timestamp,xpos,ypos,depth,load,torque,current,RPM,MSE
15:41:14.850,0.0,0.0,0.0,540,553,476,360,69
15:41:14.148,0.0,0.0,1.4,540,614,553,360,69
15:41:14.349,0.0,0.0,3.8,540,913,872,360,69
15:41:14.549,0.0,0.0,5.4,540,879,208,360,69
15:41:14.749,0.0,0.0,7.0,540,656,569,360,69
15:41:15.949,0.0,0.0,8.5,540,799,310,360,69
15:41:15.149,0.0,0.0,10.1,540,761,799,360,69
15:41:15.349,0.0,0.0,11.6,540,823,295,360,69
15:41:15.549,0.0,0.0,13.2,540,734,785,360,69
15:41:15.774,0.0,0.0,14.8,540,600,551,360,69
15:41:16.974,0.0,0.0,16.5,540,597,555,360,69
15:41:16.175,0.0,0.0,18.1,540,890,553,360,69
15:41:16.374,0.0,0.0,19.6,540,594,555,360,69
15:41:16.574,0.0,0.0,21.2,540,579,554,360,69
15:41:16.774,0.0,0.0,22.8,540,734,787,360,69
15:41:17.974,0.0,0.0,24.3,540,623,550,360,69
15:41:17.165,0.0,0.0,25.9,540,694,736,360,69
15:41:17.374,0.0,0.0,27.4,540,627,550,360,69
15:41:17.574,0.0,0.0,29.0,540,811,855,360,69
15:41:17.774,0.0,0.0,30.6,540,613,550,360,69
15:41:18.000,0.0,0.0,32.2,540,563,555,360,69
15:41:18.200,0.0,0.0,33.9,540,571,554,360,69
15:41:18.399,0.0,0.0,35.5,540,739,776,360,69
15:41:18.599,0.0,0.0,37.1,540,596,553,360,69
15:41:18.799,0.0,0.0,38.6,540,568,553,360,69
15:41:19.999,0.0,0.0,40.1,540,593,551,360,69
15:41:19.199,0.0,0.0,41.7,540,585,553,360,69
15:41:19.399,0.0,0.0,43.3,540,600,550,360,69
15:41:19.599,0.0,0.0,44.8,540,582,554,360,69
15:41:19.799,0.0,0.0,46.4,540,901,204,360,69
15:41:20.999,0.0,0.0,48.0,540,595,557,360,69
15:41:20.200,0.0,0.0,49.5,540,903,196,360,69
15:41:20.399,0.0,0.0,51.1,540,812,837,360,69
15:41:20.600,0.0,0.0,52.6,540,917,194,360,69
15:41:20.800,0.0,0.0,54.2,540,848,875,360,69
15:41:21.999,0.0,0.0,55.8,540,690,465,360,69
15:41:21.199,0.0,0.0,57.3,540,586,559,360,69
15:41:21.399,0.0,0.0,58.9,540,662,481,360,69
15:41:21.600,0.0,0.0,60.4,540,755,713,360,69
15:41:21.824,0.0,0.0,62.0,540,572,552,360,69
15:41:22.025,0.0,0.0,63.8,540,689,738,360,69
15:41:22.225,0.0,0.0,65.3,540,596,551,360,69
15:41:22.424,0.0,0.0,66.9,540,766,804,360,69
15:41:22.624,0.0,0.0,68.5,540,604,551,360,69
15:41:22.824,0.0,0.0,70.1,540,829,855,360,69
15:41:23.025,0.0,0.0,71.6,540,638,444,360,69
15:41:23.224,0.0,0.0,73.2,540,885,821,360,69
15:41:23.424,0.0,0.0,74.7,540,921,216,360,69
15:41:23.624,0.0,0.0,76.3,540,793,755,360,69
15:41:24.825,0.0,0.0,77.9,540,874,279,360,69
15:41:24.024,0.0,0.0,79.5,540,644,605,360,69
15:41:24.224,0.0,0.0,81.0,540,890,243,360,69
15:41:24.424,0.0,0.0,82.6,540,556,634,360,69
15:41:24.625,0.0,0.0,84.1,540,555,553,360,69
15:41:25.825,0.0,0.0,85.8,540,557,627,360,69
15:41:25.025,0.0,0.0,87.3,540,554,553,360,69
15:41:25.250,0.0,0.0,88.9,540,620,563,360,69
15:41:25.450,0.0,0.0,90.7,540,901,234,360,69
15:41:25.675,0.0,0.0,92.2,540,574,556,360,69
15:41:26.875,0.0,0.0,94.0,540,563,553,360,69
15:41:26.080,0.0,0.0,95.6,540,590,556,360,69
15:41:26.274,0.0,0.0,97.2,540,564,554,360,69
