timestamp,xpos,ypos,depth,temperature,heaterstate,pumpstate,current,radius
17:46:32.576,0.0,0.0,0.0,53.488037,1,1,0.95667887,0.0
17:46:32.876,0.0,0.0,0.0,53.779053,1,1,0.99277973,0.0
17:46:33.376,0.0,0.0,0.0,53.779053,1,1,1.0649819,0.0
17:46:33.900,0.0,0.0,0.0,53.488037,1,1,0.99277973,0.0
17:46:34.425,0.0,0.0,0.0,54.367645,1,1,1.0288811,0.0
17:46:34.950,0.0,0.0,0.0,54.815002,1,1,0.99277973,0.0
17:46:35.450,0.0,0.0,0.0,55.572296,1,1,1.0288811,0.0
17:46:35.976,0.0,0.0,0.0,53.779053,1,1,0.99277973,0.0
17:46:36.501,0.0,0.0,0.0,54.96527,1,1,0.99277973,0.0
17:46:36.001,0.0,0.0,0.0,56.34494,1,1,0.95667887,0.0
17:46:37.527,0.0,0.0,0.0,55.11612,1,1,1.0288811,0.0
17:46:37.051,0.0,0.0,0.0,55.11612,1,1,0.8483753,0.0
17:46:38.551,0.0,0.0,0.0,55.26758,1,1,0.99277973,0.0
17:46:38.075,0.0,0.0,0.0,55.11612,1,1,0.95667887,0.0
17:46:39.601,0.0,0.0,0.0,56.033997,1,1,1.0288811,0.0
17:46:39.125,0.0,0.0,0.0,56.189148,1,1,0.99277973,0.0
17:46:40.626,0.0,0.0,0.0,55.419647,1,1,1.0288811,0.0
17:46:40.151,0.0,0.0,0.0,56.658417,1,1,0.99277973,0.0
17:46:41.676,0.0,0.0,0.0,56.658417,1,1,0.95667887,0.0
17:46:41.202,0.0,0.0,0.0,57.453766,1,1,0.95667887,0.0
17:46:42.700,0.0,0.0,0.0,57.133606,1,1,0.99277973,0.0
17:46:42.226,0.0,0.0,0.0,56.81613,1,1,0.95667887,0.0
17:46:43.750,0.0,0.0,0.0,55.419647,1,1,1.0288811,0.0
17:46:43.254,0.0,0.0,0.0,57.776672,1,1,1.0649819,0.0
17:46:44.762,0.0,0.0,0.0,58.266388,1,1,0.99277973,0.0
17:46:44.264,0.0,0.0,0.0,58.266388,1,1,1.1010833,0.0
17:46:45.766,0.0,0.0,0.0,58.102448,1,1,1.0649819,0.0
17:46:45.265,0.0,0.0,0.0,58.762634,1,1,0.9205775,0.0
17:46:46.766,0.0,0.0,0.0,59.434845,1,1,0.95667887,0.0
17:46:46.266,0.0,0.0,0.0,59.0972,1,1,1.0288811,0.0
17:46:47.768,0.0,0.0,0.0,58.102448,1,1,0.95667887,0.0
17:46:47.274,0.0,0.0,0.0,58.266388,1,1,0.95667887,0.0
17:46:48.798,0.0,0.0,0.0,58.102448,1,1,0.99277973,0.0
17:46:48.323,0.0,0.0,0.0,59.775604,1,1,0.9205775,0.0
17:46:49.824,0.0,0.0,0.0,58.596466,1,1,0.99277973,0.0
17:46:50.349,0.0,0.0,0.0,60.466858,1,1,0.95667887,0.0
17:46:50.873,0.0,0.0,0.0,59.604828,1,1,1.0649819,0.0
17:46:51.399,0.0,0.0,0.0,59.265625,1,1,0.95667887,0.0
17:46:51.924,0.0,0.0,0.0,59.947205,1,1,0.99277973,0.0
17:46:52.448,0.0,0.0,0.0,60.119568,1,1,0.8844762,0.0
17:46:52.974,0.0,0.0,0.0,60.466858,1,1,1.0288811,0.0
17:46:53.499,0.0,0.0,0.0,61.349854,1,1,1.0649819,0.0
17:46:53.999,0.0,0.0,0.0,60.817474,1,1,1.0288811,0.0
17:46:54.499,0.0,0.0,0.0,62.623627,1,1,0.99277973,0.0
17:46:54.024,0.0,0.0,0.0,59.775604,1,1,0.95667887,0.0
17:46:55.549,0.0,0.0,0.0,60.119568,1,1,0.99277973,0.0
17:46:55.074,0.0,0.0,0.0,61.89023,1,1,0.99277973,0.0
17:46:56.600,0.0,0.0,0.0,60.119568,1,1,0.99277973,0.0
17:46:56.099,0.0,0.0,0.0,61.17151,1,1,0.95667887,0.0
17:46:57.625,0.0,0.0,0.0,61.17151,1,1,0.99277973,0.0
17:46:57.148,0.0,0.0,0.0,61.89023,1,1,0.95667887,0.0
17:46:58.650,0.0,0.0,0.0,62.072174,1,1,0.99277973,0.0
