timestamp,xpos,ypos,depth,load,torque,current,RPM,MSE
14:50:57.505,342.0,37.5,0.0,540,557,552,360,73
14:50:57.535,342.0,37.5,0.0,540,558,559,360,73
14:50:57.758,342.0,37.5,0.3,540,558,560,360,73
14:50:58.982,342.0,37.5,2.1,540,558,556,360,73
14:50:58.185,342.0,37.5,3.9,540,558,559,360,73
14:50:58.383,342.0,37.5,5.4,540,558,556,360,73
14:50:58.584,342.0,37.5,7.0,540,558,558,360,73
14:50:58.811,342.0,37.5,8.5,540,559,502,360,73
14:50:59.010,342.0,37.5,10.3,540,559,634,360,73
14:50:59.210,342.0,37.5,11.9,540,558,556,360,71
14:50:59.434,342.0,37.5,13.6,540,558,559,360,71
14:50:59.639,342.0,37.5,15.2,540,558,558,360,71
14:50:59.846,342.0,37.5,16.8,540,558,556,360,69
14:51:00.046,342.0,37.5,18.4,540,558,558,360,69
14:51:00.271,342.0,37.5,20.2,540,558,556,360,69
14:51:00.496,342.0,37.5,21.7,540,558,610,360,69
14:51:00.697,342.0,37.5,23.5,540,558,556,360,69
14:51:00.901,342.0,37.5,25.1,540,559,558,360,69
14:51:01.109,342.0,37.5,26.7,540,559,489,360,69
14:51:01.309,342.0,37.5,28.3,540,558,621,360,92
14:51:01.518,342.0,37.5,29.9,540,559,511,360,203
14:51:01.719,342.0,37.5,31.5,540,559,635,360,479
14:51:01.920,342.0,37.5,33.1,540,559,508,360,503
14:51:02.136,342.0,37.5,34.7,540,558,558,360,565
14:51:02.334,342.0,37.5,36.3,540,559,492,360,642
14:51:02.533,342.0,37.5,37.9,540,559,559,360,665
14:51:02.734,342.0,37.5,39.4,540,557,556,360,659
14:51:03.936,342.0,37.5,41.0,540,557,595,360,624
14:51:03.161,342.0,37.5,42.8,540,558,559,360,613
14:51:03.361,342.0,37.5,44.3,540,559,557,360,613
14:51:03.559,342.0,37.5,45.9,540,558,559,360,613
14:51:03.783,342.0,37.5,47.6,540,557,556,360,613
14:51:04.984,342.0,37.5,49.2,540,559,560,360,613
14:51:04.184,342.0,37.5,50.8,540,558,556,360,613
14:51:04.386,342.0,37.5,52.3,540,558,559,360,613
14:51:04.612,342.0,37.5,53.9,540,559,557,360,613
14:51:04.811,342.0,37.5,55.6,540,558,557,360,613
14:51:05.013,342.0,37.5,57.2,540,558,557,360,613
14:51:05.239,342.0,37.5,58.8,540,558,558,360,613
14:51:05.439,342.0,37.5,60.5,540,558,558,360,613
14:51:05.639,342.0,37.5,62.1,540,558,623,360,613
14:51:05.840,342.0,37.5,63.9,540,558,488,360,613
