timestamp,xpos,ypos,depth,load,torque,current,voltage,RPM,MSE
12:36:12.773,115.8,2.9,0.0,102.18727,113.41385,5.648855,123.20611,360.0,34434.395
12:36:12.000,115.8,2.9,0.0,90.44955,112.43007,5.648855,122.1374,360.0,34133.246
12:36:12.199,115.8,2.9,0.0,92.520905,113.269806,5.712468,121.67939,360.0,34388.5
12:36:12.399,115.8,2.9,0.0,85.61636,112.11986,5.6615777,121.52671,360.0,34038.03
12:36:13.625,115.8,2.9,0.0,66.28364,113.23718,5.7251906,121.37405,360.0,34372.668
12:36:13.825,115.8,2.9,0.0,69.045456,112.795334,5.6743,121.98473,360.0,34239.23
12:36:13.050,115.8,2.9,0.0,78.02136,113.27519,5.763359,120.61069,360.0,34386.86
12:36:13.252,115.8,2.9,0.0,102.87772,116.29705,5.86514,121.67939,360.0,35309.35
12:36:13.455,115.8,2.9,0.0,114.615456,125.77796,6.399491,120.61069,360.0,38188.64
12:36:14.655,115.8,2.9,0.0,107.71091,140.07481,6.8829517,124.8855,360.0,42524.938
12:36:14.881,115.8,2.9,0.0,73.18818,138.36559,7.1119595,119.38931,360.0,41998.527
12:36:14.106,115.8,2.9,0.0,61.450455,145.26775,7.226463,123.35878,360.0,44090.08
12:36:14.330,115.8,2.9,0.0,36.59409,144.04692,7.264631,121.67939,360.0,43714.043
12:36:15.530,115.8,2.9,0.0,40.736816,146.8219,7.40458,121.67939,360.0,44556.94
12:36:15.756,115.8,2.9,0.0,78.02136,145.12593,7.328244,121.52671,360.0,44050.797
12:36:15.957,115.8,2.9,0.0,55.92682,143.96399,7.3155217,120.76337,360.0,43693.25
12:36:15.183,115.8,2.9,0.0,61.450455,144.96547,7.366412,120.76337,360.0,43998.363
12:36:15.408,115.8,2.9,0.0,98.04455,147.65561,7.4936385,120.91603,360.0,44822.863
12:36:16.608,115.8,2.9,0.0,98.04455,149.40916,7.5445294,121.52671,360.0,45354.914
12:36:16.808,115.8,2.9,0.0,55.236366,145.7666,7.379135,121.221375,360.0,44240.027
